Row Labels,Sum of DELAY_DUE_CARRIER,Sum of DELAY_DUE_WEATHER,Sum of DELAY_DUE_NAS,Sum of DELAY_DUE_SECURITY,Sum of DELAY_DUE_LATE_AIRCRAFT
JMS,437,260,76,0,372
JNU,798,298,953,14,1536
JST,1415,15,0,0,168
KOA,5122,682,2164,7,8658
KTN,583,8,549,47,2836
LAN,1038,502,749,0,2059
LAR,753,245,167,0,548
LAS,121655,4412,61086,735,128501
LAW,1811,423,302,29,770
LAX,122093,9653,54854,514,110939
LBB,2451,184,1815,0,5319
LBE,75,97,530,0,319
LBF,1580,48,408,0,187
LBL,341,59,196,0,149
LCH,3590,147,436,0,588
LCK,892,406,361,102,2829
LEX,5121,1629,2552,0,5308
LFT,2302,709,1117,20,3256
LGA,90543,16216,76527,206,136005
LGB,8555,681,2579,0,10372
LIH,5542,1296,1755,85,9679
LIT,11427,1163,4547,35,10557
LNK,1696,443,255,0,631
LRD,2668,233,701,0,1751
LSE,1355,319,281,0,534
LWB,1203,244,169,0,765
LWS,422,68,0,0,243
LYH,11,0,139,0,50
MAF,6112,105,3642,19,5553
MBS,1687,39,282,0,821
MCI,17335,4236,14821,115,28150
MCO,110462,26520,78654,1340,128389
MCW,54,0,0,0,279
MDT,2081,1539,1845,26,2996
MDW,60640,6854,20778,166,54078
MEI,750,330,170,0,718
MEM,18548,3473,7576,194,15584
MFE,2828,349,2040,19,2968
MFR,4356,1157,3215,0,5591
MGM,2790,194,650,0,3666
MHK,1910,38,801,0,537
MHT,3065,108,2922,0,4463
MIA,85776,15521,50389,727,77709
MKE,16703,2281,11166,14,15662
MKG,1280,0,212,0,298
MLB,802,205,307,0,1346
MLI,2516,609,1038,139,2323
MLU,1392,412,723,0,1749
MMH,60,0,27,0,252
MOB,1879,1369,957,0,3528
MOT,4048,1114,495,0,873
MQT,1209,541,220,0,783
MRY,3265,712,472,0,2439
MSN,12617,1708,4107,25,6681
MSO,4410,1024,1364,62,3108
MSP,91231,25092,46163,134,41563
MSY,21548,3416,20203,148,40834
MTJ,3106,77,1290,45,1364
MVY,1604,0,753,0,1613
MYR,6643,1991,6756,29,13795
OAJ,891,278,348,0,1424
OAK,26812,640,6441,483,25217
OGD,,,,,
OGG,12279,387,3701,132,17056
OGS,1763,0,246,0,493
OKC,19113,3955,6339,0,16512
OMA,15275,3648,7445,0,14282
OME,24,0,86,27,394
ONT,11555,1789,6221,0,15868
ORD,191448,40726,115224,447,229672
ORF,13756,2501,11551,37,16290
ORH,1470,223,512,0,1274
OTH,219,133,203,7,77
OTZ,0,0,26,0,303
OWB,12,0,20,0,276
PAE,791,46,958,0,402
PAH,505,0,367,0,894
PBG,1074,385,592,0,370
PBI,16576,1624,15321,6,26088
PDX,28980,2206,14929,134,30386
PGD,5520,1386,2818,9,7896
PGV,86,0,0,0,52
PHF,677,44,207,0,1247
PHL,59100,7472,44504,603,76437
PHX,104282,4569,36165,516,122144
PIA,2849,1906,1299,5,5743
PIB,2462,232,99,0,614
PIE,3734,3011,3705,0,6626
PIH,620,362,0,0,0
PIR,1320,115,17,2,0
PIT,21802,4716,19648,30,23662
PLN,1541,1014,7,0,282
PNS,5690,1917,3729,35,11480
PPG,108,0,0,0,68
PRC,1229,45,440,0,301
PSC,4960,1075,1111,10,2193
PSE,296,0,353,0,963
PSG,103,0,155,0,1578
PSM,885,324,191,0,1925
PSP,9039,1651,4307,18,6938
PUB,378,0,160,0,214
PUW,6,80,20,0,107
PVD,6728,304,6963,5,13764
PVU,891,40,624,0,936
PWM,6100,1044,5479,40,6918
RAP,4093,1728,1232,3,3715
RDD,1386,60,942,0,758
RDM,5761,639,1702,0,3086
RDU,31778,4217,27941,185,41358
RFD,1128,156,418,17,522
RHI,1024,43,18,0,218
RIC,13313,2141,10834,96,13177
RIW,80,0,6,0,1099
RKS,1243,0,15,0,303
RNO,12728,2415,5336,19,15042
ROA,1996,359,1023,0,2257
ROC,8550,598,7127,0,8387
ROW,2047,333,443,0,1251
RST,2076,581,896,0,1697
RSW,20662,2675,20563,60,33783
SAF,1409,935,424,0,1391
SAN,39628,4954,26741,398,55709
SAV,9608,2735,7363,70,13393
SBA,3869,365,3263,0,7202
SBN,4665,417,1511,39,3471
SBP,8506,644,1691,58,3542
SCC,438,0,73,0,270
SCE,908,34,174,0,711
SCK,412,0,472,46,1549
SDF,16220,3239,9365,35,15783
SEA,89197,12980,48947,794,67511
SFB,12398,1581,4422,0,8947
SFO,80566,4251,38901,75,97434
SGF,5497,992,4386,55,6126
SGU,2187,645,316,0,2798
SHD,1641,36,20,0,797
SHR,218,0,155,0,0
SHV,3261,1191,1555,76,3122
SIT,577,69,373,0,1212
SJC,18986,2109,9827,134,29724
SJT,767,625,213,0,619
SJU,29757,277,11099,191,31444
SLC,82100,15826,26035,255,45483
SLN,875,0,138,0,1445
SMF,23793,1381,9293,342,27261
SMX,27,0,31,0,286
SNA,23219,1435,13110,58,29867
SPI,777,215,253,0,702
SPN,226,0,14,0,197
SPS,533,719,416,0,935
SRQ,9034,1247,8102,125,13812
STC,0,0,54,0,191
STL,31342,3661,18213,118,45671
STS,1086,457,356,1,3216
STT,2843,341,1623,44,6538
STX,233,4,587,28,831
SUX,618,192,429,0,866
SWF,2120,174,431,0,2148
SWO,736,115,392,11,317
SYR,8825,896,3932,0,8783
TBN,0,0,0,0,284
TLH,3793,621,776,0,5523
TOL,668,181,350,0,1080
TPA,38410,7311,31040,36,64071
TRI,2562,298,354,0,2780
TTN,2431,0,1692,0,4765
TUL,7403,1678,5504,13,11113
TUS,10632,1179,4615,0,8883
TVC,1974,2465,2496,15,3013
TWF,530,112,173,0,399
TXK,786,699,238,0,646
TYR,1322,121,318,0,1602
TYS,6192,2378,5420,29,8763
UIN,0,0,250,0,212
USA,1407,40,535,0,1392
VCT,324,0,87,0,495
VEL,1096,1156,622,0,744
VLD,770,291,223,0,1778
VPS,5944,1585,3352,281,10057
WRG,20,21,124,0,940
WYS,31,46,0,0,196
XNA,10183,3580,7482,18,8702
XWA,2130,1367,351,0,326
YAK,192,0,127,0,1020
YKM,440,0,13,0,24
YUM,1756,44,76,30,1262
Grand Total,4598456,735742,2467627,27558,4763800
