Row Labels,Sum of DELAY_DUE_CARRIER,Sum of DELAY_DUE_WEATHER,Sum of DELAY_DUE_NAS,Sum of DELAY_DUE_SECURITY,Sum of DELAY_DUE_LATE_AIRCRAFT
Alaska Airlines Inc.,90991,12236,93407,1686,111422
Allegiant Air,107357,24498,61309,1161,142414
American Airlines Inc.,672287,100163,326601,4438,799783
Delta Air Lines Inc.,608421,68148,277100,2656,365768
Endeavor Air Inc.,125449,28844,94679,102,135033
Envoy Air,119510,52522,112729,887,170129
ExpressJet Airlines LLC d/b/a aha!,33699,6560,38829,0,31873
Frontier Airlines Inc.,136497,9715,92760,0,190757
Hawaiian Airlines Inc.,50704,2503,2574,474,29080
Horizon Air,20218,3411,9683,495,21980
JetBlue Airways,315826,21947,151903,1973,310518
Mesa Airlines Inc.,123358,35357,50048,308,135342
PSA Airlines Inc.,127169,27255,73566,492,209154
Republic Airline,146910,33344,166294,508,172430
SkyWest Airlines Inc.,781773,174419,142422,2735,397303
Southwest Airlines Co.,656836,45996,298513,6045,928977
Spirit Air Lines,134635,26159,193539,3504,141590
United Air Lines Inc.,346816,62665,281671,94,470247
Grand Total,4598456,735742,2467627,27558,4763800
